customer_id,Last_name,First_name,Address,Country,Postal_Code,City,Region,Gender,Day_Of_Birth,Month_Of_Birth,Year_Of_Birth
1,Johnson,Stanley,135  Waymore Blvd.,Brazil,14409,franca,SP,M,3,11,1955
2,Cramer,Henry,9483  49th St.,Brazil,9790,sao bernardo do campo,SP,M,3,2,1981
3,Von Brocken,Owen,2843  Drummin Lane,Brazil,1151,sao paulo,SP,M,1,10,1993
4,Hoover,Wilhelm,135  Poplar St.,Brazil,8775,mogi das cruzes,SP,F,3,2,1975
5,Von Stubben,Vern,2839  5th Ave.,Brazil,13056,campinas,SP,F,2,8,2017
6,Anthony,Terry,2932  50th St.,Brazil,89254,jaragua do sul,SC,F,1,5,1992
7,Smith,Marian,27391  Overton Dr.,Brazil,4534,sao paulo,SP,F,3,4,1967
8,Ali,Jennifer,3489  Waverly St.,Brazil,35182,timoteo,MG,F,2,9,1992
9,Pearl,Ramona,2384  Park Ct.,Brazil,81560,curitiba,PR,F,1,11,1976
10,Hederson,Walter,2932  Waverly St.,Brazil,30575,belo horizonte,MG,F,1,3,1994
11,Pearl,Winifred,8293  Polar Ave,Brazil,39400,montes claros,MG,M,2,6,1967
12,Anthony,Arun,135  Wicker Way,Brazil,20231,rio de janeiro,RJ,M,2,11,2008
13,Mueller,Jennifer,4839  73rd Ave.,Brazil,18682,lencois paulista,SP,M,3,1,1945
14,Pearl,Ralph,283  Highview Blvd.,Brazil,5704,sao paulo,SP,F,2,5,2021
15,Taft,Brad,2838  Becker Way,Brazil,95110,caxias do sul,RS,M,3,1,1977
16,Goldbloom,Xia,3838  Mortimer Ct.,Brazil,13412,piracicaba,SP,M,2,10,1965
17,Wellington,Melissa,2839  Seasame Ln.,Brazil,22750,rio de janeiro,RJ,M,2,1,1970
18,Sipulski,Henry,3489  45th St.,Brazil,7124,guarulhos,SP,M,3,11,1984
19,Winstrom,Walter,2833  39th Ave.,Brazil,5416,sao paulo,SP,M,2,6,1999
20,Alvarez,Douglas,2843  Waverly St.,Brazil,68485,pacaja,PA,F,1,9,2020
21,Petrov,Cassie,2939  73rd Ave.,Brazil,88034,florianopolis,SC,M,3,3,1990
22,Hoover,Zeb,7472  Anchor St.,Brazil,74914,aparecida de goiania,GO,M,2,10,1969
23,Roosevelt,Nels,135  23rd St.,Brazil,5713,sao paulo,SP,M,2,1,1967
24,Allens,Nels,2839  Hwy 45,Brazil,82820,curitiba,PR,F,3,4,1967
25,Popovich,Ralph,828  Seasame Ln.,Brazil,8225,sao paulo,SP,M,1,8,1990
26,Sipulski,Ramona,8232  Baker Ave.,Brazil,9121,santo andre,SP,M,1,1,1991
27,Roberts,Edward,2843  Birch St.,Brazil,74310,goiania,GO,F,2,3,1984
28,Popovich,Xia,2843  5th Ave.,Brazil,4571,sao paulo,SP,M,1,5,1991
29,Hokah,Ramona,283  Mycroft Ln.,Brazil,29311,cachoeiro de itapemirim,ES,M,2,8,2001
30,Glinkov,Greg,29838  Seasame Ln.,Brazil,5528,sao paulo,SP,M,2,5,1995
31,Banks,Anders,2384  Mycroft Ln.,Brazil,12235,sao jose dos campos,SP,F,2,1,1973
32,Roosevelt,Winifred,2843  Wicker Way,Brazil,18130,sao roque,SP,M,1,6,1990
33,Perkins,Jennifer,9293  Elm St.,Brazil,42800,camacari,BA,M,2,7,1985
34,Pearl,Anders,2838  Mycroft Ln.,Brazil,27525,resende,RJ,M,3,4,1979
35,Fulston,Sarah,828  Eilert Way,Brazil,81750,curitiba,PR,M,3,6,1982
36,Hu,Betsy,8392  Angle St.,Brazil,13175,sumare,SP,F,3,11,1991
37,Steeger,Linda,28043  34th St.,Brazil,7170,guarulhos,SP,M,1,5,2003
38,Allens,Frank,2772  Waverly St.,Brazil,93415,novo hamburgo,RS,F,3,4,1993
39,Steeger,Fran,8293  Roberts Rd.,Brazil,65075,sao luis,MA,M,1,5,2010
40,Elert,Daniel,2828  Eilert Way,Brazil,88104,sao jose,SC,M,2,4,1984
41,Sipulski,Terry,2828  129th St.,Brazil,7176,guarulhos,SP,M,3,6,1965
42,Zipperer,Edward,2839  50th St.,Brazil,35960,santa barbara,MG,M,2,10,2013
43,Wellington,Stanley,8282  Fender Ave.,Brazil,5727,sao paulo,SP,F,1,2,2004
44,Taylor,Zeb,27391  Drummin Lane,Brazil,7053,guarulhos,SP,M,3,3,1979
45,Zipperer,Fran,4934  Highview Blvd.,Brazil,14026,ribeirao preto,SP,M,3,1,1982
46,Von Brocken,Stanley,2772  Waverly St.,Brazil,30320,belo horizonte,MG,F,2,4,1986
47,Von Brocken,Marian,4934  Waverly St.,Brazil,38300,ituiutaba,MG,M,3,10,1985
48,Winstrom,Ramona,823  Ivy Lane,Brazil,18740,taquarituba,SP,M,3,6,2001
49,Petrov,Ralph,2839  Overland Dr.,Brazil,83085,sao jose dos pinhais,PR,M,3,9,1983
50,Roberts,Stanley,2383  Hwy 45,Brazil,5351,sao paulo,SP,M,1,11,1979
51,Von Brocken,Wilhelm,2983  Baker Ave.,Brazil,39406,montes claros,MG,M,2,10,2009
52,Porter,Karl,7472  Roberts Rd.,Brazil,14860,barrinha,SP,M,2,3,1991
53,Goldbloom,Cory,2383  Highview Blvd.,Brazil,21310,rio de janeiro,RJ,M,1,4,1991
54,Hederson,Walter,2383  Seaside Ln.,Brazil,23970,parati,RJ,F,2,11,1966
55,Drake,Greg,8392  Angle St.,Brazil,79804,dourados,MS,M,1,2,1974
56,Mueller,Cory,283  Overton Dr.,Brazil,5017,sao paulo,SP,M,3,9,2010
57,Hoover,Hilda,27391  Overton Dr.,Brazil,75388,trindade,GO,F,2,7,1980
58,Alvarez,Fritz,4934  Wicker Way,Brazil,85808,cascavel,PR,M,3,3,1989
59,Olsen,Fran,2828  40th St.,Brazil,60140,fortaleza,CE,M,3,1,2000
60,Mueller,Hilda,283  Eilert Way,Brazil,72270,brasilia,DF,M,1,6,1975
61,Smith,Terry,2838  Anchor St.,Brazil,2075,sao paulo,SP,M,3,6,1991
62,Unger,Melissa,2828  Anchor St.,Brazil,96015,pelotas,RS,M,1,6,1979
63,Unger,Linda,2983  Fairview St.,Brazil,90010,porto alegre,RS,M,2,5,1960
64,Hu,Henry,283  Eilert Way,Brazil,22440,rio de janeiro,RJ,M,1,6,1972
65,Zipperer,Linda,2983  73rd Ave.,Brazil,13323,salto,SP,M,2,7,1987
66,McCloud,Ralph,2843  45th St.,Brazil,30190,belo horizonte,MG,F,3,9,1992
67,Cramer,Terry,7472  Juniper Ln.,Brazil,13212,jundiai,SP,M,3,5,1989
68,Drake,Sarah,7472  50th St.,Brazil,29307,cachoeiro de itapemirim,ES,F,3,7,1972
69,Steeger,Quincy,27391  Upton Way,Brazil,12280,cacapava,SP,F,2,7,1979
70,Fulston,Fritz,7472  Highview Blvd.,Brazil,60336,fortaleza,CE,M,2,3,1978
71,Smith,Jennifer,3489  Orchid Dr.,Brazil,11310,sao vicente,SP,M,2,5,1992
72,Drake,Zeb,3827  Juniper Ln.,Brazil,38408,uberlandia,MG,M,1,5,1980
73,Elert,Jennifer,3288  Wicker Way,Brazil,37720,botelhos,MG,M,3,4,1987
74,Zipperer,Arun,828  Seasame Ln.,Brazil,24431,sao goncalo,RJ,M,3,5,1975
